user,rule_id,goal,user_type,situation,context,context_nl,item,item_nl,label
applicationExpert4,100,Comfort,Generic,Generic,none,none,datetime-localtime, WHEN  time becomes  18:30 minutes and,1
student2020-16,304,EnergySaving,Generic,GoingOut,all-alllight,the system automatically turns them off and ,greatluminaire-state," but the lights are on, ",1
student2021-14,429,"Health,Wellbeing",Student,Generic,none,none,bedroom-windowsensor,"the bedroom windows are open,",0
student2019-13,188,Safety,Generic,Generic,none,none,reminders-reminders,send a notification to Simone saying 'Close the refrigerator!' and ,0
student2019-7,152,Wellbeing,Generic,Generic,none,none,reminders-reminders,asks the user if she want to listen to some music,1
student2020-7,259,Wellbeing,Generic,Generic,bedroom-changelightstate,the room lights come on. ,reminders-reminders,he receives a reminder voice message 'Wake up it's your birthday!' and ,1
student2021-02,369,Safety,Generic,Generic,kitchen-microwave,turn off the microwave oven and  ,reminders-reminders,"send a notification saying: ""the microwave has been turned off""",1
student2019-6,148,Safety,Generic,Generic,none,none,kitchen-gassensor,If the gas sensor is activated in the kitchen and,1
student2020-2,234,Wellbeing,Generic,Generic,reminders-reminders;livingroom-relax,sends a comforting voice message to the person. it starts a relaxing atmosphere and  ,sleep-bedoccupancy,When the user is in the bed and ,0
student2020-27,358,Comfort,Generic,Generic,entrance-alllight, turn on the entrance lights. ,entrance-motion,when the front door is open and ,0
student2020-4,241,"Comfort,Wellbeing",Generic,Generic,none,none,devices-tv,turn on the TV and ,0
student2020-9,267,Organizing,Generic,"ColdSeason, BadWeather",none,none,currentweather-snow, WHEN   Weather & Time becomes snow    and  ,1
applicationExpert2,64,"Health, Wellbeing",Generic,GoodWeather,none,none,reminders-reminders,"do send  reminder ""Remind to walk more for a healthier lifestyle"" by sms to 12345678",1
student2019-18,212,Health,Caregiver,ElderlyAlone,none,none,physiological-heartrate,TRIGGER: (EVENT) If the heart rate exceeds 200 beats and ,1
student2019-8,163,EnergySaving,Generic,Generic,fridge-door, and the refrigerator door is open (condition) ,corridor-light strip corridor,the LED strip in the corridor lights up  setting it to a mango tango color.,1
student2019-20,220,EnergySaving,Generic,Generic,reminders-reminders;entrancelight-state," change the color of the light to red for two minutes and  the entrance light is on, ",kitchen-motion,the motion sensor in the kitchen does not detect movement (condition),0
applicationExpert1,44,Health,Caregiver,Generic,none,none,home-robotvacuumcleaner, turn off the vacuum cleaner and ,0
student2019-2,129,EnergySaving,Generic,ElderlyAlone,reminders-reminders;kitchen-alllight;personaldata-age,"sends a reminder ""Close the fridge door"" via notification turns on all the kitchen lights and the test user is over 75 ",fridge-door,If the refrigerator door is open and,1
student2021-08,395,Comfort,Generic,Generic,none,none,reminders-reminders,send me a voice notification saying 'The coffee is ready!'.,1
student2019-16,204,Organizing,Generic,Generic,none,none,kitchen-hue color light kitchen, turn the kitchen light red for 10 minutes and ,1
student2021-02,369,Safety,Generic,Generic,reminders-reminders;kitchen-microwave,"send a notification saying: ""the microwave has been turned off"" turn off the microwave oven and  ",relativeposition-typeofproximity,"while I'm away from home, ",1
applicationExpert4,106,Safety,Caregiver,ElderlyAlone,relativeposition-typeofproximity,Test-user   is  outside house ,alarms-alarms,"do send  one  alarm  ""Elderly is outside house!"" by sms to caregiver",1
student2019-18,211,Safety,Generic,Generic,relativeposition-typeofproximity, (CONDITION) the user is away from home  ,twentyfourhoursweatherforecast-outdoorcondition,When the weather forecast predicts snow or ,0
student2019-10,173,Safety,Generic,Generic,none,none,kitchen-alllight,turns on the lights in the kitchen.,1
student2021-10,408,Security,Generic,Night,none,none,bathroom-hue color light bathroom,turn on a red light in the bathroom.,0
